country_id,country_code,country_name
CO001,ABW,ABW
CO002,AGO,AGO
CO003,AIA,AIA
CO004,ALB,ALB
CO005,AND,AND
CO006,ARE,ARE
CO007,ARG,ARG
CO008,ARM,ARM
CO009,ASM,ASM
CO010,ATA,ATA
CO011,ATF,ATF
CO012,AUS,AUS
CO013,AUT,AUT
CO014,AZE,AZE
CO015,BDI,BDI
CO016,BEL,BEL
CO017,BEN,BEN
CO018,BFA,BFA
CO019,BGD,BGD
CO020,BGR,BGR
CO021,BHR,BHR
CO022,BHS,BHS
CO023,BIH,BIH
CO024,BLR,BLR
CO025,BOL,BOL
CO026,BRA,BRA
CO027,BRB,BRB
CO028,BWA,BWA
CO029,CAF,CAF
CO030,CHE,CHE
CO031,CHL,CHL
CO032,CHN,CHN
CO033,CIV,CIV
CO034,CMR,CMR
CO035,CN,CN
CO036,COL,COL
CO037,COM,COM
CO038,CPV,CPV
CO039,CRI,CRI
CO040,CUB,CUB
CO041,CYM,CYM
CO042,CYP,CYP
CO043,CZE,CZE
CO044,DEU,DEU
CO045,DJI,DJI
CO046,DMA,DMA
CO047,DNK,DNK
CO048,DOM,DOM
CO049,DZA,DZA
CO050,ECU,ECU
CO051,EGY,EGY
CO052,ESP,ESP
CO053,EST,EST
CO054,ETH,ETH
CO055,FIN,FIN
CO056,FJI,FJI
CO057,FRA,FRA
CO058,FRO,FRO
CO059,GAB,GAB
CO060,GBR,GBR
CO061,GEO,GEO
CO062,GGY,GGY
CO063,GHA,GHA
CO064,GIB,GIB
CO065,GLP,GLP
CO066,GNB,GNB
CO067,GRC,GRC
CO068,GTM,GTM
CO069,GUY,GUY
CO070,HKG,HKG
CO071,HND,HND
CO072,HRV,HRV
CO073,HUN,HUN
CO074,IDN,IDN
CO075,IMN,IMN
CO076,IND,IND
CO077,IRL,IRL
CO078,IRN,IRN
CO079,IRQ,IRQ
CO080,ISL,ISL
CO081,ISR,ISR
CO082,ITA,ITA
CO083,JAM,JAM
CO084,JEY,JEY
CO085,JOR,JOR
CO086,JPN,JPN
CO087,KAZ,KAZ
CO088,KEN,KEN
CO089,KHM,KHM
CO090,KIR,KIR
CO091,KNA,KNA
CO092,KOR,KOR
CO093,KWT,KWT
CO094,LAO,LAO
CO095,LBN,LBN
CO096,LBY,LBY
CO097,LCA,LCA
CO098,LIE,LIE
CO099,LKA,LKA
CO100,LTU,LTU
CO101,LUX,LUX
CO102,LVA,LVA
CO103,MAC,MAC
CO104,MAR,MAR
CO105,MCO,MCO
CO106,MDG,MDG
CO107,MDV,MDV
CO108,MEX,MEX
CO109,MKD,MKD
CO110,MLI,MLI
CO111,MLT,MLT
CO112,MMR,MMR
CO113,MNE,MNE
CO114,MOZ,MOZ
CO115,MRT,MRT
CO116,MUS,MUS
CO117,MWI,MWI
CO118,MYS,MYS
CO119,MYT,MYT
CO120,NAM,NAM
CO121,NCL,NCL
CO122,NGA,NGA
CO123,NIC,NIC
CO124,NLD,NLD
CO125,NOR,NOR
CO126,NPL,NPL
CO127,NULL,NULL
CO128,NZL,NZL
CO129,OMN,OMN
CO130,PAK,PAK
CO131,PAN,PAN
CO132,PER,PER
CO133,PHL,PHL
CO134,PLW,PLW
CO135,POL,POL
CO136,PRI,PRI
CO137,PRT,PRT
CO138,PRY,PRY
CO139,PYF,PYF
CO140,QAT,QAT
CO141,ROU,ROU
CO142,RUS,RUS
CO143,RWA,RWA
CO144,SAU,SAU
CO145,SDN,SDN
CO146,SEN,SEN
CO147,SGP,SGP
CO148,SLE,SLE
CO149,SLV,SLV
CO150,SMR,SMR
CO151,SRB,SRB
CO152,STP,STP
CO153,SUR,SUR
CO154,SVK,SVK
CO155,SVN,SVN
CO156,SWE,SWE
CO157,SYC,SYC
CO158,SYR,SYR
CO159,TGO,TGO
CO160,THA,THA
CO161,TJK,TJK
CO162,TMP,TMP
CO163,TUN,TUN
CO164,TUR,TUR
CO165,TWN,TWN
CO166,TZA,TZA
CO167,UGA,UGA
CO168,UKR,UKR
CO169,UMI,UMI
CO170,URY,URY
CO171,USA,USA
CO172,UZB,UZB
CO173,VEN,VEN
CO174,VGB,VGB
CO175,VNM,VNM
CO176,ZAF,ZAF
CO177,ZMB,ZMB
CO178,ZWE,ZWE
