date_id,date,year,month_number,month_name,quarter,year_month,day_of_week,is_weekend
20150701,2015-07-01,2015,7,July,Q3,2015-07,Wednesday,0
20150702,2015-07-02,2015,7,July,Q3,2015-07,Thursday,0
20150703,2015-07-03,2015,7,July,Q3,2015-07,Friday,0
20150704,2015-07-04,2015,7,July,Q3,2015-07,Saturday,1
20150705,2015-07-05,2015,7,July,Q3,2015-07,Sunday,1
20150706,2015-07-06,2015,7,July,Q3,2015-07,Monday,0
20150707,2015-07-07,2015,7,July,Q3,2015-07,Tuesday,0
20150708,2015-07-08,2015,7,July,Q3,2015-07,Wednesday,0
20150709,2015-07-09,2015,7,July,Q3,2015-07,Thursday,0
20150710,2015-07-10,2015,7,July,Q3,2015-07,Friday,0
20150711,2015-07-11,2015,7,July,Q3,2015-07,Saturday,1
20150712,2015-07-12,2015,7,July,Q3,2015-07,Sunday,1
20150713,2015-07-13,2015,7,July,Q3,2015-07,Monday,0
20150714,2015-07-14,2015,7,July,Q3,2015-07,Tuesday,0
20150715,2015-07-15,2015,7,July,Q3,2015-07,Wednesday,0
20150716,2015-07-16,2015,7,July,Q3,2015-07,Thursday,0
20150717,2015-07-17,2015,7,July,Q3,2015-07,Friday,0
20150718,2015-07-18,2015,7,July,Q3,2015-07,Saturday,1
20150719,2015-07-19,2015,7,July,Q3,2015-07,Sunday,1
20150720,2015-07-20,2015,7,July,Q3,2015-07,Monday,0
20150721,2015-07-21,2015,7,July,Q3,2015-07,Tuesday,0
20150722,2015-07-22,2015,7,July,Q3,2015-07,Wednesday,0
20150723,2015-07-23,2015,7,July,Q3,2015-07,Thursday,0
20150724,2015-07-24,2015,7,July,Q3,2015-07,Friday,0
20150725,2015-07-25,2015,7,July,Q3,2015-07,Saturday,1
20150726,2015-07-26,2015,7,July,Q3,2015-07,Sunday,1
20150727,2015-07-27,2015,7,July,Q3,2015-07,Monday,0
20150728,2015-07-28,2015,7,July,Q3,2015-07,Tuesday,0
20150729,2015-07-29,2015,7,July,Q3,2015-07,Wednesday,0
20150730,2015-07-30,2015,7,July,Q3,2015-07,Thursday,0
20150731,2015-07-31,2015,7,July,Q3,2015-07,Friday,0
20150801,2015-08-01,2015,8,August,Q3,2015-08,Saturday,1
20150802,2015-08-02,2015,8,August,Q3,2015-08,Sunday,1
20150803,2015-08-03,2015,8,August,Q3,2015-08,Monday,0
20150804,2015-08-04,2015,8,August,Q3,2015-08,Tuesday,0
20150805,2015-08-05,2015,8,August,Q3,2015-08,Wednesday,0
20150806,2015-08-06,2015,8,August,Q3,2015-08,Thursday,0
20150807,2015-08-07,2015,8,August,Q3,2015-08,Friday,0
20150808,2015-08-08,2015,8,August,Q3,2015-08,Saturday,1
20150809,2015-08-09,2015,8,August,Q3,2015-08,Sunday,1
20150810,2015-08-10,2015,8,August,Q3,2015-08,Monday,0
20150811,2015-08-11,2015,8,August,Q3,2015-08,Tuesday,0
20150812,2015-08-12,2015,8,August,Q3,2015-08,Wednesday,0
20150813,2015-08-13,2015,8,August,Q3,2015-08,Thursday,0
20150814,2015-08-14,2015,8,August,Q3,2015-08,Friday,0
20150815,2015-08-15,2015,8,August,Q3,2015-08,Saturday,1
20150816,2015-08-16,2015,8,August,Q3,2015-08,Sunday,1
20150817,2015-08-17,2015,8,August,Q3,2015-08,Monday,0
20150818,2015-08-18,2015,8,August,Q3,2015-08,Tuesday,0
20150819,2015-08-19,2015,8,August,Q3,2015-08,Wednesday,0
20150820,2015-08-20,2015,8,August,Q3,2015-08,Thursday,0
20150821,2015-08-21,2015,8,August,Q3,2015-08,Friday,0
20150822,2015-08-22,2015,8,August,Q3,2015-08,Saturday,1
20150823,2015-08-23,2015,8,August,Q3,2015-08,Sunday,1
20150824,2015-08-24,2015,8,August,Q3,2015-08,Monday,0
20150825,2015-08-25,2015,8,August,Q3,2015-08,Tuesday,0
20150826,2015-08-26,2015,8,August,Q3,2015-08,Wednesday,0
20150827,2015-08-27,2015,8,August,Q3,2015-08,Thursday,0
20150828,2015-08-28,2015,8,August,Q3,2015-08,Friday,0
20150829,2015-08-29,2015,8,August,Q3,2015-08,Saturday,1
20150830,2015-08-30,2015,8,August,Q3,2015-08,Sunday,1
20150831,2015-08-31,2015,8,August,Q3,2015-08,Monday,0
20150901,2015-09-01,2015,9,September,Q3,2015-09,Tuesday,0
20150902,2015-09-02,2015,9,September,Q3,2015-09,Wednesday,0
20150903,2015-09-03,2015,9,September,Q3,2015-09,Thursday,0
20150904,2015-09-04,2015,9,September,Q3,2015-09,Friday,0
20150905,2015-09-05,2015,9,September,Q3,2015-09,Saturday,1
20150906,2015-09-06,2015,9,September,Q3,2015-09,Sunday,1
20150907,2015-09-07,2015,9,September,Q3,2015-09,Monday,0
20150908,2015-09-08,2015,9,September,Q3,2015-09,Tuesday,0
20150909,2015-09-09,2015,9,September,Q3,2015-09,Wednesday,0
20150910,2015-09-10,2015,9,September,Q3,2015-09,Thursday,0
20150911,2015-09-11,2015,9,September,Q3,2015-09,Friday,0
20150912,2015-09-12,2015,9,September,Q3,2015-09,Saturday,1
20150913,2015-09-13,2015,9,September,Q3,2015-09,Sunday,1
20150914,2015-09-14,2015,9,September,Q3,2015-09,Monday,0
20150915,2015-09-15,2015,9,September,Q3,2015-09,Tuesday,0
20150916,2015-09-16,2015,9,September,Q3,2015-09,Wednesday,0
20150917,2015-09-17,2015,9,September,Q3,2015-09,Thursday,0
20150918,2015-09-18,2015,9,September,Q3,2015-09,Friday,0
20150919,2015-09-19,2015,9,September,Q3,2015-09,Saturday,1
20150920,2015-09-20,2015,9,September,Q3,2015-09,Sunday,1
20150921,2015-09-21,2015,9,September,Q3,2015-09,Monday,0
20150922,2015-09-22,2015,9,September,Q3,2015-09,Tuesday,0
20150923,2015-09-23,2015,9,September,Q3,2015-09,Wednesday,0
20150924,2015-09-24,2015,9,September,Q3,2015-09,Thursday,0
20150925,2015-09-25,2015,9,September,Q3,2015-09,Friday,0
20150926,2015-09-26,2015,9,September,Q3,2015-09,Saturday,1
20150927,2015-09-27,2015,9,September,Q3,2015-09,Sunday,1
20150928,2015-09-28,2015,9,September,Q3,2015-09,Monday,0
20150929,2015-09-29,2015,9,September,Q3,2015-09,Tuesday,0
20150930,2015-09-30,2015,9,September,Q3,2015-09,Wednesday,0
20151001,2015-10-01,2015,10,October,Q4,2015-10,Thursday,0
20151002,2015-10-02,2015,10,October,Q4,2015-10,Friday,0
20151003,2015-10-03,2015,10,October,Q4,2015-10,Saturday,1
20151004,2015-10-04,2015,10,October,Q4,2015-10,Sunday,1
20151005,2015-10-05,2015,10,October,Q4,2015-10,Monday,0
