date_id,date,property_id,room_count,available_room_nights,source_type
20150701,2015-07-01,P001,280,274,synthetic_operating_capacity
20150701,2015-07-01,P002,450,441,synthetic_operating_capacity
20150702,2015-07-02,P001,280,274,synthetic_operating_capacity
20150702,2015-07-02,P002,450,441,synthetic_operating_capacity
20150703,2015-07-03,P001,280,274,synthetic_operating_capacity
20150703,2015-07-03,P002,450,441,synthetic_operating_capacity
20150704,2015-07-04,P001,280,274,synthetic_operating_capacity
20150704,2015-07-04,P002,450,441,synthetic_operating_capacity
20150705,2015-07-05,P001,280,274,synthetic_operating_capacity
20150705,2015-07-05,P002,450,441,synthetic_operating_capacity
20150706,2015-07-06,P001,280,274,synthetic_operating_capacity
20150706,2015-07-06,P002,450,441,synthetic_operating_capacity
20150707,2015-07-07,P001,280,274,synthetic_operating_capacity
20150707,2015-07-07,P002,450,441,synthetic_operating_capacity
20150708,2015-07-08,P001,280,274,synthetic_operating_capacity
20150708,2015-07-08,P002,450,441,synthetic_operating_capacity
20150709,2015-07-09,P001,280,274,synthetic_operating_capacity
20150709,2015-07-09,P002,450,441,synthetic_operating_capacity
20150710,2015-07-10,P001,280,274,synthetic_operating_capacity
20150710,2015-07-10,P002,450,441,synthetic_operating_capacity
20150711,2015-07-11,P001,280,274,synthetic_operating_capacity
20150711,2015-07-11,P002,450,441,synthetic_operating_capacity
20150712,2015-07-12,P001,280,274,synthetic_operating_capacity
20150712,2015-07-12,P002,450,441,synthetic_operating_capacity
20150713,2015-07-13,P001,280,274,synthetic_operating_capacity
20150713,2015-07-13,P002,450,441,synthetic_operating_capacity
20150714,2015-07-14,P001,280,274,synthetic_operating_capacity
20150714,2015-07-14,P002,450,441,synthetic_operating_capacity
20150715,2015-07-15,P001,280,274,synthetic_operating_capacity
20150715,2015-07-15,P002,450,441,synthetic_operating_capacity
20150716,2015-07-16,P001,280,274,synthetic_operating_capacity
20150716,2015-07-16,P002,450,441,synthetic_operating_capacity
20150717,2015-07-17,P001,280,274,synthetic_operating_capacity
20150717,2015-07-17,P002,450,441,synthetic_operating_capacity
20150718,2015-07-18,P001,280,274,synthetic_operating_capacity
20150718,2015-07-18,P002,450,441,synthetic_operating_capacity
20150719,2015-07-19,P001,280,274,synthetic_operating_capacity
20150719,2015-07-19,P002,450,441,synthetic_operating_capacity
20150720,2015-07-20,P001,280,274,synthetic_operating_capacity
20150720,2015-07-20,P002,450,441,synthetic_operating_capacity
20150721,2015-07-21,P001,280,274,synthetic_operating_capacity
20150721,2015-07-21,P002,450,441,synthetic_operating_capacity
20150722,2015-07-22,P001,280,274,synthetic_operating_capacity
20150722,2015-07-22,P002,450,441,synthetic_operating_capacity
20150723,2015-07-23,P001,280,274,synthetic_operating_capacity
20150723,2015-07-23,P002,450,441,synthetic_operating_capacity
20150724,2015-07-24,P001,280,274,synthetic_operating_capacity
20150724,2015-07-24,P002,450,441,synthetic_operating_capacity
20150725,2015-07-25,P001,280,274,synthetic_operating_capacity
20150725,2015-07-25,P002,450,441,synthetic_operating_capacity
20150726,2015-07-26,P001,280,274,synthetic_operating_capacity
20150726,2015-07-26,P002,450,441,synthetic_operating_capacity
20150727,2015-07-27,P001,280,274,synthetic_operating_capacity
20150727,2015-07-27,P002,450,441,synthetic_operating_capacity
20150728,2015-07-28,P001,280,274,synthetic_operating_capacity
20150728,2015-07-28,P002,450,441,synthetic_operating_capacity
20150729,2015-07-29,P001,280,274,synthetic_operating_capacity
20150729,2015-07-29,P002,450,441,synthetic_operating_capacity
20150730,2015-07-30,P001,280,274,synthetic_operating_capacity
20150730,2015-07-30,P002,450,441,synthetic_operating_capacity
20150731,2015-07-31,P001,280,274,synthetic_operating_capacity
20150731,2015-07-31,P002,450,441,synthetic_operating_capacity
20150801,2015-08-01,P001,280,274,synthetic_operating_capacity
20150801,2015-08-01,P002,450,441,synthetic_operating_capacity
20150802,2015-08-02,P001,280,274,synthetic_operating_capacity
20150802,2015-08-02,P002,450,441,synthetic_operating_capacity
20150803,2015-08-03,P001,280,274,synthetic_operating_capacity
20150803,2015-08-03,P002,450,441,synthetic_operating_capacity
20150804,2015-08-04,P001,280,274,synthetic_operating_capacity
20150804,2015-08-04,P002,450,441,synthetic_operating_capacity
20150805,2015-08-05,P001,280,274,synthetic_operating_capacity
20150805,2015-08-05,P002,450,441,synthetic_operating_capacity
20150806,2015-08-06,P001,280,274,synthetic_operating_capacity
20150806,2015-08-06,P002,450,441,synthetic_operating_capacity
20150807,2015-08-07,P001,280,274,synthetic_operating_capacity
20150807,2015-08-07,P002,450,441,synthetic_operating_capacity
20150808,2015-08-08,P001,280,274,synthetic_operating_capacity
20150808,2015-08-08,P002,450,441,synthetic_operating_capacity
20150809,2015-08-09,P001,280,274,synthetic_operating_capacity
20150809,2015-08-09,P002,450,441,synthetic_operating_capacity
20150810,2015-08-10,P001,280,274,synthetic_operating_capacity
20150810,2015-08-10,P002,450,441,synthetic_operating_capacity
20150811,2015-08-11,P001,280,274,synthetic_operating_capacity
20150811,2015-08-11,P002,450,441,synthetic_operating_capacity
20150812,2015-08-12,P001,280,274,synthetic_operating_capacity
20150812,2015-08-12,P002,450,441,synthetic_operating_capacity
20150813,2015-08-13,P001,280,274,synthetic_operating_capacity
20150813,2015-08-13,P002,450,441,synthetic_operating_capacity
20150814,2015-08-14,P001,280,274,synthetic_operating_capacity
20150814,2015-08-14,P002,450,441,synthetic_operating_capacity
20150815,2015-08-15,P001,280,274,synthetic_operating_capacity
20150815,2015-08-15,P002,450,441,synthetic_operating_capacity
20150816,2015-08-16,P001,280,274,synthetic_operating_capacity
20150816,2015-08-16,P002,450,441,synthetic_operating_capacity
20150817,2015-08-17,P001,280,274,synthetic_operating_capacity
20150817,2015-08-17,P002,450,441,synthetic_operating_capacity
20150818,2015-08-18,P001,280,274,synthetic_operating_capacity
20150818,2015-08-18,P002,450,441,synthetic_operating_capacity
20150819,2015-08-19,P001,280,274,synthetic_operating_capacity
20150819,2015-08-19,P002,450,441,synthetic_operating_capacity
20150820,2015-08-20,P001,280,274,synthetic_operating_capacity
20150820,2015-08-20,P002,450,441,synthetic_operating_capacity
20150821,2015-08-21,P001,280,274,synthetic_operating_capacity
20150821,2015-08-21,P002,450,441,synthetic_operating_capacity
20150822,2015-08-22,P001,280,274,synthetic_operating_capacity
20150822,2015-08-22,P002,450,441,synthetic_operating_capacity
20150823,2015-08-23,P001,280,274,synthetic_operating_capacity
20150823,2015-08-23,P002,450,441,synthetic_operating_capacity
20150824,2015-08-24,P001,280,274,synthetic_operating_capacity
20150824,2015-08-24,P002,450,441,synthetic_operating_capacity
20150825,2015-08-25,P001,280,274,synthetic_operating_capacity
20150825,2015-08-25,P002,450,441,synthetic_operating_capacity
20150826,2015-08-26,P001,280,274,synthetic_operating_capacity
20150826,2015-08-26,P002,450,441,synthetic_operating_capacity
20150827,2015-08-27,P001,280,274,synthetic_operating_capacity
20150827,2015-08-27,P002,450,441,synthetic_operating_capacity
20150828,2015-08-28,P001,280,274,synthetic_operating_capacity
20150828,2015-08-28,P002,450,441,synthetic_operating_capacity
20150829,2015-08-29,P001,280,274,synthetic_operating_capacity
20150829,2015-08-29,P002,450,441,synthetic_operating_capacity
20150830,2015-08-30,P001,280,274,synthetic_operating_capacity
20150830,2015-08-30,P002,450,441,synthetic_operating_capacity
20150831,2015-08-31,P001,280,274,synthetic_operating_capacity
20150831,2015-08-31,P002,450,441,synthetic_operating_capacity
20150901,2015-09-01,P001,280,280,synthetic_operating_capacity
20150901,2015-09-01,P002,450,450,synthetic_operating_capacity
20150902,2015-09-02,P001,280,280,synthetic_operating_capacity
20150902,2015-09-02,P002,450,450,synthetic_operating_capacity
20150903,2015-09-03,P001,280,280,synthetic_operating_capacity
20150903,2015-09-03,P002,450,450,synthetic_operating_capacity
20150904,2015-09-04,P001,280,280,synthetic_operating_capacity
20150904,2015-09-04,P002,450,450,synthetic_operating_capacity
20150905,2015-09-05,P001,280,280,synthetic_operating_capacity
20150905,2015-09-05,P002,450,450,synthetic_operating_capacity
20150906,2015-09-06,P001,280,280,synthetic_operating_capacity
20150906,2015-09-06,P002,450,450,synthetic_operating_capacity
20150907,2015-09-07,P001,280,280,synthetic_operating_capacity
20150907,2015-09-07,P002,450,450,synthetic_operating_capacity
20150908,2015-09-08,P001,280,280,synthetic_operating_capacity
20150908,2015-09-08,P002,450,450,synthetic_operating_capacity
20150909,2015-09-09,P001,280,280,synthetic_operating_capacity
20150909,2015-09-09,P002,450,450,synthetic_operating_capacity
20150910,2015-09-10,P001,280,280,synthetic_operating_capacity
20150910,2015-09-10,P002,450,450,synthetic_operating_capacity
20150911,2015-09-11,P001,280,280,synthetic_operating_capacity
20150911,2015-09-11,P002,450,450,synthetic_operating_capacity
20150912,2015-09-12,P001,280,280,synthetic_operating_capacity
20150912,2015-09-12,P002,450,450,synthetic_operating_capacity
20150913,2015-09-13,P001,280,280,synthetic_operating_capacity
20150913,2015-09-13,P002,450,450,synthetic_operating_capacity
20150914,2015-09-14,P001,280,280,synthetic_operating_capacity
20150914,2015-09-14,P002,450,450,synthetic_operating_capacity
20150915,2015-09-15,P001,280,280,synthetic_operating_capacity
20150915,2015-09-15,P002,450,450,synthetic_operating_capacity
20150916,2015-09-16,P001,280,280,synthetic_operating_capacity
20150916,2015-09-16,P002,450,450,synthetic_operating_capacity
20150917,2015-09-17,P001,280,280,synthetic_operating_capacity
20150917,2015-09-17,P002,450,450,synthetic_operating_capacity
20150918,2015-09-18,P001,280,280,synthetic_operating_capacity
20150918,2015-09-18,P002,450,450,synthetic_operating_capacity
20150919,2015-09-19,P001,280,280,synthetic_operating_capacity
20150919,2015-09-19,P002,450,450,synthetic_operating_capacity
20150920,2015-09-20,P001,280,280,synthetic_operating_capacity
20150920,2015-09-20,P002,450,450,synthetic_operating_capacity
20150921,2015-09-21,P001,280,280,synthetic_operating_capacity
20150921,2015-09-21,P002,450,450,synthetic_operating_capacity
20150922,2015-09-22,P001,280,280,synthetic_operating_capacity
20150922,2015-09-22,P002,450,450,synthetic_operating_capacity
20150923,2015-09-23,P001,280,280,synthetic_operating_capacity
20150923,2015-09-23,P002,450,450,synthetic_operating_capacity
20150924,2015-09-24,P001,280,280,synthetic_operating_capacity
20150924,2015-09-24,P002,450,450,synthetic_operating_capacity
20150925,2015-09-25,P001,280,280,synthetic_operating_capacity
20150925,2015-09-25,P002,450,450,synthetic_operating_capacity
20150926,2015-09-26,P001,280,280,synthetic_operating_capacity
20150926,2015-09-26,P002,450,450,synthetic_operating_capacity
20150927,2015-09-27,P001,280,280,synthetic_operating_capacity
20150927,2015-09-27,P002,450,450,synthetic_operating_capacity
20150928,2015-09-28,P001,280,280,synthetic_operating_capacity
20150928,2015-09-28,P002,450,450,synthetic_operating_capacity
20150929,2015-09-29,P001,280,280,synthetic_operating_capacity
20150929,2015-09-29,P002,450,450,synthetic_operating_capacity
20150930,2015-09-30,P001,280,280,synthetic_operating_capacity
20150930,2015-09-30,P002,450,450,synthetic_operating_capacity
20151001,2015-10-01,P001,280,280,synthetic_operating_capacity
20151001,2015-10-01,P002,450,450,synthetic_operating_capacity
20151002,2015-10-02,P001,280,280,synthetic_operating_capacity
20151002,2015-10-02,P002,450,450,synthetic_operating_capacity
20151003,2015-10-03,P001,280,280,synthetic_operating_capacity
20151003,2015-10-03,P002,450,450,synthetic_operating_capacity
20151004,2015-10-04,P001,280,280,synthetic_operating_capacity
20151004,2015-10-04,P002,450,450,synthetic_operating_capacity
20151005,2015-10-05,P001,280,280,synthetic_operating_capacity
20151005,2015-10-05,P002,450,450,synthetic_operating_capacity
20151006,2015-10-06,P001,280,280,synthetic_operating_capacity
20151006,2015-10-06,P002,450,450,synthetic_operating_capacity
20151007,2015-10-07,P001,280,280,synthetic_operating_capacity
