event_id,year_month,property_id,local_event_intensity_index,competitor_rate_index,source_type
EVT-P001-201507,2015-07,P001,70,1.02,synthetic_market_context
EVT-P002-201507,2015-07,P002,85,1.05,synthetic_market_context
EVT-P001-201508,2015-08,P001,70,1.02,synthetic_market_context
EVT-P002-201508,2015-08,P002,85,1.05,synthetic_market_context
EVT-P001-201509,2015-09,P001,55,0.99,synthetic_market_context
EVT-P002-201509,2015-09,P002,70,1.02,synthetic_market_context
EVT-P001-201510,2015-10,P001,55,0.99,synthetic_market_context
EVT-P002-201510,2015-10,P002,70,1.02,synthetic_market_context
EVT-P001-201511,2015-11,P001,45,0.97,synthetic_market_context
EVT-P002-201511,2015-11,P002,75,1.03,synthetic_market_context
EVT-P001-201512,2015-12,P001,45,0.97,synthetic_market_context
EVT-P002-201512,2015-12,P002,60,1.0,synthetic_market_context
EVT-P001-201601,2016-01,P001,45,0.97,synthetic_market_context
EVT-P002-201601,2016-01,P002,60,1.0,synthetic_market_context
EVT-P001-201602,2016-02,P001,45,0.97,synthetic_market_context
EVT-P002-201602,2016-02,P002,60,1.0,synthetic_market_context
EVT-P001-201603,2016-03,P001,45,0.97,synthetic_market_context
EVT-P002-201603,2016-03,P002,75,1.03,synthetic_market_context
EVT-P001-201604,2016-04,P001,55,0.99,synthetic_market_context
EVT-P002-201604,2016-04,P002,70,1.02,synthetic_market_context
EVT-P001-201605,2016-05,P001,55,0.99,synthetic_market_context
EVT-P002-201605,2016-05,P002,70,1.02,synthetic_market_context
EVT-P001-201606,2016-06,P001,70,1.02,synthetic_market_context
EVT-P002-201606,2016-06,P002,85,1.05,synthetic_market_context
EVT-P001-201607,2016-07,P001,70,1.02,synthetic_market_context
EVT-P002-201607,2016-07,P002,85,1.05,synthetic_market_context
EVT-P001-201608,2016-08,P001,70,1.02,synthetic_market_context
EVT-P002-201608,2016-08,P002,85,1.05,synthetic_market_context
EVT-P001-201609,2016-09,P001,55,0.99,synthetic_market_context
EVT-P002-201609,2016-09,P002,70,1.02,synthetic_market_context
EVT-P001-201610,2016-10,P001,55,0.99,synthetic_market_context
EVT-P002-201610,2016-10,P002,70,1.02,synthetic_market_context
EVT-P001-201611,2016-11,P001,45,0.97,synthetic_market_context
EVT-P002-201611,2016-11,P002,75,1.03,synthetic_market_context
EVT-P001-201612,2016-12,P001,45,0.97,synthetic_market_context
EVT-P002-201612,2016-12,P002,60,1.0,synthetic_market_context
EVT-P001-201701,2017-01,P001,45,0.97,synthetic_market_context
EVT-P002-201701,2017-01,P002,60,1.0,synthetic_market_context
EVT-P001-201702,2017-02,P001,45,0.97,synthetic_market_context
EVT-P002-201702,2017-02,P002,60,1.0,synthetic_market_context
EVT-P001-201703,2017-03,P001,45,0.97,synthetic_market_context
EVT-P002-201703,2017-03,P002,75,1.03,synthetic_market_context
EVT-P001-201704,2017-04,P001,55,0.99,synthetic_market_context
EVT-P002-201704,2017-04,P002,70,1.02,synthetic_market_context
EVT-P001-201705,2017-05,P001,55,0.99,synthetic_market_context
EVT-P002-201705,2017-05,P002,70,1.02,synthetic_market_context
EVT-P001-201706,2017-06,P001,70,1.02,synthetic_market_context
EVT-P002-201706,2017-06,P002,85,1.05,synthetic_market_context
EVT-P001-201707,2017-07,P001,70,1.02,synthetic_market_context
EVT-P002-201707,2017-07,P002,85,1.05,synthetic_market_context
EVT-P001-201708,2017-08,P001,70,1.02,synthetic_market_context
EVT-P002-201708,2017-08,P002,85,1.05,synthetic_market_context
