bookings,cancellations,cancellation_rate,potential_revenue,stay_revenue,realized_revenue,lost_revenue,cancellation_fee_revenue,room_nights_realized,room_nights_booked,adr,year_month,property_id,property_name,property_type,available_room_nights,occupancy_rate,revpar,net_revpar
1378,320,0.2322,885263.67,678694.1,683857.85,201405.82,5163.75,5392,6989,126.83,2015-07,P001,StayWise Resort Algarve,Resort,8494,0.6348,80.51,69.01
1398,939,0.6717,261597.86,79645.69,104897.49,156700.37,25251.8,1103,3769,95.1,2015-07,P002,StayWise City Lisbon,City,13671,0.0807,7.67,6.3
1409,366,0.2598,1176179.48,852455.22,852455.22,323724.26,0.0,5625,7669,151.55,2015-08,P001,StayWise Resort Algarve,Resort,8494,0.6622,100.36,87.15
2480,1232,0.4968,522375.86,285197.49,357642.99,164732.87,72445.5,3552,6753,100.69,2015-08,P002,StayWise City Lisbon,City,13671,0.2598,26.16,22.15
1585,551,0.3476,638048.22,466075.7,502429.19,135619.03,36353.49,5567,8132,90.25,2015-09,P001,StayWise Resort Algarve,Resort,8400,0.6627,59.81,51.04
3529,1543,0.4372,1028107.17,588544.97,848121.88,179985.29,259576.91,5489,9649,154.51,2015-09,P002,StayWise City Lisbon,City,13500,0.4066,62.82,52.58
1571,411,0.2616,365355.96,263345.23,308857.17,56498.79,45511.94,4490,6317,68.79,2015-10,P001,StayWise Resort Algarve,Resort,8680,0.5173,35.58,31.32
3386,1321,0.3901,804850.12,521369.65,665244.05,139606.07,143874.4,5585,8871,119.11,2015-10,P002,StayWise City Lisbon,City,13950,0.4004,47.69,39.9
1105,185,0.1674,194727.42,155481.15,155481.15,39246.27,0.0,3239,4079,48.0,2015-11,P001,StayWise Resort Algarve,Resort,8400,0.3856,18.51,16.43
1235,301,0.2437,268261.96,191228.34,205110.54,63151.42,13882.2,2664,3600,76.99,2015-11,P002,StayWise City Lisbon,City,13500,0.1973,15.19,12.78
1266,305,0.2409,266833.76,201184.17,208132.92,58700.84,6948.75,2910,4003,71.52,2015-12,P001,StayWise Resort Algarve,Resort,8680,0.3353,23.98,20.84
1654,668,0.4039,406515.08,228337.4,305220.32,101294.76,76882.92,2840,4911,107.47,2015-12,P002,StayWise City Lisbon,City,13950,0.2036,21.88,18.59
884,119,0.1346,113781.99,89289.31,90819.31,22962.68,1530.0,1963,2432,46.27,2016-01,P001,StayWise Resort Algarve,Resort,8866,0.2214,10.24,8.93
1364,438,0.3211,289912.86,175232.07,196652.07,93260.79,21420.0,2296,3756,85.65,2016-01,P002,StayWise City Lisbon,City,14229,0.1614,13.82,11.72
1520,407,0.2678,241456.13,165082.12,188485.17,52970.96,23403.05,3186,4455,59.16,2016-02,P001,StayWise Resort Algarve,Resort,8294,0.3841,22.73,19.51
