driver_type,driver_value,bookings,cancellations,cancellation_rate,cancellation_rate_lift_vs_average,lost_revenue,realized_revenue
Customer Type,Transient,89613,36514,0.4075,0.037,12003816.91,22195287.0
Customer Type,Transient-Party,25124,6389,0.2543,-0.1161,1344264.85,5200434.53
Customer Type,Contract,4076,1262,0.3096,-0.0608,294143.79,1544933.96
Customer Type,Group,577,59,0.1023,-0.2682,17325.19,123355.1
Deposit Type,No Deposit,104641,29694,0.2838,-0.0866,13102901.92,25950227.13
Deposit Type,Non Refund,14587,14494,0.9936,0.6232,540650.28,3080796.62
Deposit Type,Refundable,162,36,0.2222,-0.1482,15998.54,32986.84
Distribution Channel,TA/TO,97870,40152,0.4103,0.0398,12388015.24,23708119.61
Distribution Channel,Direct,14645,2557,0.1746,-0.1958,1048843.37,4417321.23
Distribution Channel,Corporate,6677,1474,0.2208,-0.1497,209095.17,904998.29
Distribution Channel,GDS,193,37,0.1917,-0.1787,12989.46,33007.96
Distribution Channel,Undefined,5,4,0.8,0.4296,607.5,563.5
Lead Time Band,91-180 days,26439,11821,0.4471,0.0767,4094253.79,7806633.58
Lead Time Band,31-90 days,29553,11141,0.377,0.0066,3802931.39,7532237.15
Lead Time Band,181+ days,24692,14077,0.5701,0.1997,3376706.38,5982577.49
Lead Time Band,8-30 days,18960,5283,0.2786,-0.0918,1948123.35,4437215.5
Lead Time Band,0-7 days,19746,1902,0.0963,-0.2741,437535.83,3305346.87
Market Segment,Online TA,56477,20739,0.3672,-0.0032,10214040.5,13728007.03
Market Segment,Offline TA/TO,24219,8311,0.3432,-0.0273,1328650.45,6823262.28
Market Segment,Direct,12606,1934,0.1534,-0.217,990200.36,4102828.03
Market Segment,Groups,19811,12097,0.6106,0.2402,968198.17,3701502.37
Market Segment,Corporate,5295,992,0.1873,-0.1831,141565.27,632729.99
Market Segment,Aviation,237,52,0.2194,-0.151,16578.0,70868.36
Market Segment,Complementary,743,97,0.1306,-0.2399,269.99,4812.53
Market Segment,Undefined,2,2,1.0,0.6296,48.0,0.0
Previous Cancellations,No previous cancellations,112906,38282,0.3391,-0.0314,12943593.61,28370208.38
Previous Cancellations,1 previous cancellation,6051,5714,0.9443,0.5739,684480.29,649764.28
Previous Cancellations,2+ previous cancellations,433,228,0.5266,0.1561,31476.84,44037.93
Special Requests,No requests,70318,33556,0.4772,0.1068,8461315.05,13940195.6
Special Requests,1 request,33226,7318,0.2202,-0.1502,3530205.98,9552525.74
Special Requests,2+ requests,15846,3350,0.2114,-0.159,1668029.71,5571289.25
Stay Length,4-7 nights,37679,13525,0.359,-0.0115,6953585.53,13791871.0
Stay Length,2-3 nights,54719,23514,0.4297,0.0593,3899264.94,10044780.34
Stay Length,8+ nights,5257,1879,0.3574,-0.013,2370295.32,3673216.72
Stay Length,1 night,21735,5306,0.2441,-0.1263,436404.95,1554142.53
