booking_id,property_id,market_segment,distribution_channel,lead_time_band,deposit_type,actual_is_canceled,predicted_cancellation_risk,risk_band,lost_revenue
SW000054,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.2396,Low risk,0.0
SW000075,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,220.6
SW000089,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.3507,Medium risk,0.0
SW000143,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3058,Medium risk,0.0
SW000151,P001,Direct,Direct,91-180 days,No Deposit,0,0.1438,Low risk,0.0
SW000192,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.3708,Medium risk,0.0
SW000206,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,1,0.3842,Medium risk,457.5
SW000222,P001,Direct,Direct,91-180 days,No Deposit,1,0.1438,Low risk,332.1
SW000283,P001,Direct,TA/TO,181+ days,No Deposit,0,0.2539,Medium risk,0.0
SW000325,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW000337,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3429,Medium risk,0.0
SW000351,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.2471,Low risk,0.0
SW000372,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,600.0
SW000396,P001,Direct,Direct,31-90 days,No Deposit,0,0.0978,Low risk,0.0
SW000426,P001,Groups,Direct,31-90 days,No Deposit,0,0.3753,Medium risk,0.0
SW000456,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,810.0
SW000465,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2482,Low risk,268.0
SW000584,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.2761,Medium risk,0.0
SW000680,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW000681,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW000689,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2482,Low risk,844.2
SW000727,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,248.4
SW000773,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,1,0.3429,Medium risk,924.0
SW000801,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2442,Low risk,440.01
SW000836,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2482,Low risk,336.0
SW000837,P001,Direct,Direct,181+ days,No Deposit,0,0.2526,Medium risk,0.0
SW000852,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1586,Low risk,0.0
SW000867,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,1690.0
SW000888,P001,Offline TA/TO,TA/TO,8-30 days,No Deposit,1,0.3018,Medium risk,1102.75
SW000896,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
